Processed File Name,Group,Year,Boundary Level,Source 1,Source 2,License,Link to Source Data,Changes,Known Errors,Raw File Name,,
BIH_ADM2.zip,Bosnia and Herzegovina,2014,ADM 2,Codrina Maria Ille,,Creative Commons,https://old.datahub.io/dataset/bosnia-and-herzegovina-municipalities,No,Potentially Outdated,bihmunicipalities.zip,,
BWA_ADM0.zip,Botswana,2017,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Central_District.shp.zip,,
BWA_ADM1.zip,Botswana,2017,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,"Only includes 10 rural districts, missing 7 urban districts",exported_boundaries_Central_District.shp.zip,,
BRA_ADM2.zip,Brazil,2016,ADM 2,IBGE,,Need someone who knows Portuguese to verify the license on this website,http://downloads.ibge.gov.br/downloads_geociencias.htm#,No,Used municipalities as the ADM 2 layer,br_microrregioes.zip,,
BRA_ADM0.zip,Brazil,2017,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Acre.shp.zip,,
BRA_ADM1.zip,Brazil,2017,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Acre.shp.zip,,
BRN_ADM0.zip,Brunei Darussalam,2017,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Belait.shp.zip,,
BRN_ADM1.zip,Brunei Darussalam,2017,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Belait.shp.zip,,
BGR_ADM0.zip,Bulgaria,2017,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Blagoevgrad.shp.zip,,
BGR_ADM1.zip,Bulgaria,2017,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Blagoevgrad.shp.zip,,
BGR_ADM2.zip,Bulgaria,2017,ADM 2,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,Yes,,Bulgaria_adm2_osm.zip,,
BFA_ADM0.zip,Burkina Faso,2017,ADM 0,"Second Administrative Level Boundaries Project (SALB), Institut Géographique du Burkina Faso (IGB)",United Nations Office for the Coordination of Humanitarian Affairs Regional Office for West and Central Africa (Regional Office for West and Central Africa (ROWCA)),Creative Commons Attribution for Intergovernmental Organizations,https://data.humdata.org/dataset/burkina-faso-administrative-boundaries,No,,bfa_admbnda_adm1_1m_salb_itos.zip,,
BFA_ADM1.zip,Burkina Faso,2017,ADM 1,"Second Administrative Level Boundaries Project (SALB), Institut Géographique du Burkina Faso (IGB)",United Nations Office for the Coordination of Humanitarian Affairs Regional Office for West and Central Africa (Regional Office for West and Central Africa (ROWCA)),Creative Commons Attribution for Intergovernmental Organizations,https://data.humdata.org/dataset/burkina-faso-administrative-boundaries,No,,bfa_admbnda_adm1_1m_salb_itos.zip,,
BFA_ADM2.zip,Burkina Faso,2017,ADM 2,"Second Administrative Level Boundaries Project (SALB), Institut Géographique du Burkina Faso (IGB)",United Nations Office for the Coordination of Humanitarian Affairs Regional Office for West and Central Africa (Regional Office for West and Central Africa (ROWCA)),Creative Commons Attribution for Intergovernmental Organizations,https://data.humdata.org/dataset/burkina-faso-administrative-boundaries,No,,bfa_admbnda_adm2_1m_salb_itos.zip,,
BDI_ADM2.zip,Burundi,2007,ADM 2,"NYU, Stanford",Map Maker Ltd,This item is in the public domain. There are no restrictions on access or use.,https://geo.nyu.edu/catalog/stanford-th822mn7301,Yes,Missing names,data (38).zip,,
BDI_ADM0.zip,Burundi,2017,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,burundi_adm1_osm.zip,,
BDI_ADM1.zip,Burundi,2017,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,burundi_adm1_osm.zip,,
KHM_ADM0.zip,Cambodia,2017,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Bantey_Meanchey.shp.zip,,
KHM_ADM1.zip,Cambodia,2017,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Bantey_Meanchey.shp.zip,,
KHM_ADM2.zip,Cambodia,2014,ADM 2,Open Development Mekong,Open Development Cambodia,Creative Commons,https://opendevelopmentcambodia.net/dataset/?id=administrative-boundaries-of-cambodia-2014,No,,BasemapSHP.zip,,
KHM_ADM3.zip,Cambodia,2014,ADM 3,Open Development Mekong,Open Development Cambodia,Creative Commons,https://opendevelopmentcambodia.net/dataset/?id=administrative-boundaries-of-cambodia-2014,No,,BasemapSHP.zip,,
CMR_ADM0.zip,Cameroon,2017,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Cameroon.shp.zip,,
CMR_ADM1.zip,Cameroon,2017,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Cameroon.shp.zip,,
CMR_ADM2.zip,Cameroon,2017,ADM 2,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Cameroon.shp.zip,,
CMR_ADM3.zip,Cameroon,2017,ADM 3,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,At least one missing commune,exported_boundaries_Cameroon.shp.zip,,
CAN_ADM0.zip,Canada,2016,ADM 0,Statistics Canada (StatCan),,"Statistics Canada Open License Agreement, http://www.statcan.gc.ca/eng/reference/licence",http://www12.statcan.gc.ca/census-recensement/2011/geo/bound-limit/bound-limit-2016-eng.cfm,No,,lpr_000b16a_e.zip,,
CAN_ADM1.zip,Canada,2016,ADM 1,Statistics Canada (StatCan),,"Statistics Canada Open License Agreement, http://www.statcan.gc.ca/eng/reference/licence",http://www12.statcan.gc.ca/census-recensement/2011/geo/bound-limit/bound-limit-2016-eng.cfm,Yes,,lpr_000b16a_e.zip,,
CAN_ADM2.zip,Canada,2016,ADM 2,Statistics Canada (StatCan),,"Statistics Canada Open License Agreement, http://www.statcan.gc.ca/eng/reference/licence",http://www12.statcan.gc.ca/census-recensement/2011/geo/bound-limit/bound-limit-2016-eng.cfm,No,,ler_000b16a_e.zip,,
CAN_ADM3.zip,Canada,2016,ADM 3,Statistics Canada (StatCan),,"Statistics Canada Open License Agreement, http://www.statcan.gc.ca/eng/reference/licence",http://www12.statcan.gc.ca/census-recensement/2011/geo/bound-limit/bound-limit-2016-eng.cfm,No,,lcsd000b16a_e.zip,,
CPV_ADM0.zip,Cape Verde,2017,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Boa_Vista.shp.zip,,
CPV_ADM1.zip,Cape Verde,2017,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Boa_Vista.shp.zip,,
CAF_ADM0.zip,Central African Republic,2017,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Bamingui_Bangoran.shp.zip,,
CAF_ADM1.zip,Central African Republic,2017,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Bamingui_Bangoran.shp.zip,,
CAF_ADM2.zip,Central African Republic,2016,ADM 2,International Organization for Migration (IOM),OpenStreetMap,Creative Commons Attribution,https://data.humdata.org/dataset/car-administrative-boundaries-4-levels,No,Could not verify accuracy,caf_admbnda_adm2_200k_sigcaf_reach_itos_United Nations Office for the Coordination of Humanitarian Affairs.zip,,
CAF_ADM3.zip,Central African Republic,2016,ADM 3,International Organization for Migration (IOM),OpenStreetMap,Creative Commons Attribution,https://data.humdata.org/dataset/car-administrative-boundaries-4-levels,No,Could not verify accuracy,caf_admbnda_adm3_200k_sigcaf_reach_itos_United Nations Office for the Coordination of Humanitarian Affairs.zip,,
TCD_ADM0.zip,Chad,2017,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Bahr_el_Gazel.shp.zip,,
TCD_ADM1.zip,Chad,2017,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Bahr_el_Gazel.shp.zip,,
TCD_ADM2.zip,Chad,2017,ADM 2,"United Nations Office for the Coordination of Humanitarian Affairs, Chad",,Creative Commons Attribution,https://data.humdata.org/dataset/chad-admin-boundaries-admin-1-and-admin-2,No,Could not verify accuracy,tcd_admbnda_adm2_United Nations Office for the Coordination of Humanitarian Affairs_20170615.zip,,
CHL_ADM0.zip,Chile,2017,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Chile.shp.zip,,
CHL_ADM1.zip,Chile,2017,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,Includes the Region of Nuble,exported_boundaries_Chile.shp.zip,,
CHL_ADM2.zip,Chile,2017,ADM 2,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,Yes,"Includes two new provinces, from the Region of Nuble",exported_boundaries_Chile.shp.zip,,
CHN_ADM0.zip,China,2017,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,Missing Macao and Hong Kong in the boundary,exported_boundaries_China.shp.zip,,
CHN_ADM1.zip,China,2017,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,Missing Macao and Hong Kong,exported_boundaries_China.shp.zip,,
CHN_ADM2.zip,China,2017,ADM 2,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,Missing a few districts,exported_boundaries_China.shp.zip,,
CHN_ADM3.zip,China,2017,ADM 3,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,Missing a few districts,exported_boundaries_China.shp.zip,,
COL_ADM0.zip,Colombia,2017,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Amazonas.shp.zip,,
COL_ADM1.zip,Colombia,2017,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Amazonas.shp.zip,,
COL_ADM2.zip,Colombia,2016,ADM 2,Departamento Administrativo Nacional de Estadistica,,Granted use in terms of use,https://geoportal.dane.gov.co/v2/?page=elementoDescargaMGN,No,,MGN2016_00_NACIONAL.zip,,
COM_ADM0.zip,Comoros,2017,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Anjouan.shp.zip,,
COM_ADM1.zip,Comoros,2017,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Anjouan.shp.zip,,
CRI_ADM0.zip,Costa Rica,2017,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Provincia_Alajuela.shp.zip,,
CRI_ADM1.zip,Costa Rica,2017,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Provincia_Alajuela.shp.zip,,
CRI_ADM2.zip,Costa Rica,2017,ADM 2,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,Yes,,exported_boundaries_Costa_Rica.shp.zip,,
CRI_ADM3.zip,Costa Rica,2017,ADM 3,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,Missing at least 6 districts,exported_boundaries_Costa_Rica.shp.zip,,
CIV_ADM0.zip,Cote d'Ivoire,2016,ADM 0,Comité National de Télédétection et d'Information Géographique (CNTIG),United Nations Office for the Coordination of Humanitarian Affairs Cote d'Ivoire,For humanitarian use only,https://data.humdata.org/dataset/cote-d-ivoire-administrative-boundaries,No,,civ_admbnda_adm1_cntig_20160528,,
CIV_ADM1.zip,Cote d'Ivoire,2016,ADM 1,Comité National de Télédétection et d'Information Géographique (CNTIG),United Nations Office for the Coordination of Humanitarian Affairs Cote d'Ivoire,For humanitarian use only,https://data.humdata.org/dataset/cote-d-ivoire-administrative-boundaries,No,,civ_admbnda_adm1_cntig_20160527,,
CIV_ADM2.zip,Cote d'Ivoire,2016,ADM 2,Comité National de Télédétection et d'Information Géographique (CNTIG),United Nations Office for the Coordination of Humanitarian Affairs Cote d'Ivoire,For humanitarian use only,https://data.humdata.org/dataset/cote-d-ivoire-administrative-boundaries,No,,civ_admbnda_adm2_cntig_20160527,,
CIV_ADM3.zip,Cote d'Ivoire,2016,ADM 3,Comité National de Télédétection et d'Information Géographique (CNTIG),United Nations Office for the Coordination of Humanitarian Affairs Cote d'Ivoire,For humanitarian use only,https://data.humdata.org/dataset/cote-d-ivoire-administrative-boundaries,No,,civ_admbnda_adm3_cntig_20160527,,
HRV_ADM0.zip,Croatia,2017,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Bjelovar-Bilogora.shp.zip,,
HRV_ADM1.zip,Croatia,2017,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Bjelovar-Bilogora.shp.zip,,
CUB_ADM0.zip,Cuba,2017,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Cuba.shp.zip,,
CUB_ADM1.zip,Cuba,2017,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Cuba.shp.zip,,
